"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.035194,0,0,0,1,0,0.05,0,0
0.035197,-0.0063774,9.647e-06,0,1,0.001,0.05,0.001,0
0.0352,-0.012755,1.9294e-05,0,1,0.002,0.05,0.002,0
0.035204,-0.019132,2.8941e-05,0,1,0.003,0.05,0.003,0
0.035207,-0.02551,3.8588e-05,0,1,0.004,0.05,0.004,0
0.035211,-0.031887,4.8235e-05,0,1,0.005,0.05,0.005,0
0.035197,-0.037154,6.2881e-05,0,1,0.006,0.05,0.006,0
0.035183,-0.04242,7.7527e-05,0,1,0.007,0.05,0.007,0
0.035169,-0.047687,9.2173e-05,0,1,0.008,0.05,0.008,0
0.035155,-0.052953,0.00010682,0,1,0.009,0.05,0.009,0
0.035141,-0.05822,0.00012146,0,1,0.01,0.05,0.01,0
0.035072,-0.062833,0.00014363,0,1,0.011,0.05,0.011,0
0.035004,-0.067446,0.00016579,0,1,0.012,0.05,0.012,0
0.034935,-0.072058,0.00018795,0,1,0.013,0.05,0.013,0
0.034866,-0.076671,0.00021011,0,1,0.014,0.05,0.014,0
0.034797,-0.081284,0.00023227,0,1,0.015,0.05,0.015,0
0.034643,-0.085524,0.00026731,0,1,0.016,0.05,0.016,0
0.034489,-0.089764,0.00030234,0,1,0.017,0.05,0.017,0
0.034335,-0.094005,0.00033738,0,1,0.018,0.05,0.018,0
0.034181,-0.098245,0.00037242,0,1,0.019,0.05,0.019,0
0.034027,-0.10249,0.00040746,0,1,0.02,0.05,0.02,0
0.033747,-0.10651,0.00046642,0,1,0.021,0.05,0.021,0
0.033468,-0.11054,0.00052538,0,1,0.022,0.05,0.022,0
0.033188,-0.11457,0.00058434,0,1,0.023,0.05,0.023,0
0.032908,-0.1186,0.00064329,0,1,0.024,0.05,0.024,0
0.032629,-0.12263,0.00070225,0,1,0.025,0.05,0.025,0
0.032171,-0.12651,0.00080048,0,1,0.026,0.05,0.026,0
0.031714,-0.13039,0.00089871,0,1,0.027,0.05,0.027,0
0.031256,-0.13427,0.00099693,0,1,0.028,0.05,0.028,0
0.030799,-0.13815,0.0010952,0,1,0.029,0.05,0.029,0
0.030342,-0.14203,0.0011934,0,1,0.03,0.05,0.03,0
0.029644,-0.14572,0.0013489,0,1,0.031,0.05,0.031,0
0.028946,-0.14942,0.0015043,0,1,0.032,0.05,0.032,0
0.028248,-0.15312,0.0016598,0,1,0.033,0.05,0.033,0
0.02755,-0.15681,0.0018153,0,1,0.034,0.05,0.034,0
0.026852,-0.16051,0.0019708,0,1,0.035,0.05,0.035,0
0.025844,-0.16388,0.0022014,0,1,0.036,0.05,0.036,0
0.024836,-0.16725,0.0024321,0,1,0.037,0.05,0.037,0
0.023828,-0.17062,0.0026628,0,1,0.038,0.05,0.038,0
0.02282,-0.17398,0.0028935,0,1,0.039,0.05,0.039,0
0.021812,-0.17735,0.0031242,0,1,0.04,0.05,0.04,0
0.020426,-0.18012,0.0034438,0,1,0.041,0.05,0.041,0
0.019039,-0.18288,0.0037633,0,1,0.042,0.05,0.042,0
0.017653,-0.18565,0.0040828,0,1,0.043,0.05,0.043,0
0.016267,-0.18841,0.0044023,0,1,0.044,0.05,0.044,0
0.01488,-0.19118,0.0047219,0,1,0.045,0.05,0.045,0
0.013067,-0.19292,0.0051331,0,1,0.046,0.05,0.046,0
0.011253,-0.19466,0.0055442,0,1,0.047,0.05,0.047,0
0.0094392,-0.19639,0.0059554,0,1,0.048,0.05,0.048,0
0.0076256,-0.19813,0.0063666,0,1,0.049,0.05,0.049,0
0.0058119,-0.19987,0.0067778,0,1,0.05,0.05,0.05,0
0.0035678,-0.19997,0.0072642,0,1,0.051,0.05,0.051,0
0.0013236,-0.20008,0.0077507,0,1,0.052,0.05,0.052,0
-0.00092052,-0.20018,0.0082372,0,1,0.053,0.05,0.053,0
-0.0031647,-0.20029,0.0087237,0,1,0.054,0.05,0.054,0
-0.0054088,-0.20039,0.0092101,0,1,0.055,0.05,0.055,0
-0.0080056,-0.19806,0.0097274,0,1,0.056,0.05,0.056,0
-0.010602,-0.19573,0.010245,0,1,0.057,0.05,0.057,0
-0.013199,-0.1934,0.010762,0,1,0.058,0.05,0.058,0
-0.015796,-0.19107,0.011279,0,1,0.059,0.05,0.059,0
-0.018393,-0.18874,0.011797,0,1,0.06,0.05,0.06,0
-0.021148,-0.18296,0.012266,0,1,0.061,0.05,0.061,0
-0.023904,-0.17717,0.012735,0,1,0.062,0.05,0.062,0
-0.026659,-0.17139,0.013204,0,1,0.063,0.05,0.063,0
-0.029414,-0.16561,0.013673,0,1,0.064,0.05,0.064,0
-0.03217,-0.15982,0.014142,0,1,0.065,0.05,0.065,0
-0.034755,-0.14937,0.014451,0,1,0.066,0.05,0.066,0
-0.037341,-0.13892,0.01476,0,1,0.067,0.05,0.067,0
-0.039926,-0.12847,0.01507,0,1,0.068,0.05,0.068,0
-0.042512,-0.11802,0.015379,0,1,0.069,0.05,0.069,0
-0.045097,-0.10757,0.015688,0,1,0.07,0.05,0.07,0
-0.047079,-0.091091,0.015713,0,1,0.071,0.05,0.071,0
-0.04906,-0.074613,0.015737,0,1,0.072,0.05,0.072,0
-0.051041,-0.058136,0.015761,0,1,0.073,0.05,0.073,0
-0.053022,-0.041658,0.015786,0,1,0.074,0.05,0.074,0
-0.055003,-0.025181,0.01581,0,1,0.075,0.05,0.075,0
-0.055952,-0.0013022,0.015453,0,1,0.076,0.05,0.076,0
-0.056901,0.022577,0.015095,0,1,0.077,0.05,0.077,0
-0.05785,0.046456,0.014738,0,1,0.078,0.05,0.078,0
-0.058799,0.070334,0.014381,0,1,0.079,0.05,0.079,0
-0.059748,0.094213,0.014023,0,1,0.08,0.05,0.08,0
-0.059448,0.12666,0.013279,0,1,0.081,0.05,0.081,0
-0.059147,0.15911,0.012534,0,1,0.082,0.05,0.082,0
-0.058846,0.19156,0.01179,0,1,0.083,0.05,0.083,0
-0.058545,0.22401,0.011046,0,1,0.084,0.05,0.084,0
-0.058244,0.25646,0.010301,0,1,0.085,0.05,0.085,0
-0.056828,0.2981,0.0093396,0,1,0.086,0.05,0.086,0
-0.055412,0.33973,0.0083782,0,1,0.087,0.05,0.087,0
-0.053996,0.38137,0.0074167,0,1,0.088,0.05,0.088,0
-0.052581,0.423,0.0064552,0,1,0.089,0.05,0.089,0
-0.051165,0.46464,0.0054938,0,1,0.09,0.05,0.09,0
-0.049083,0.51495,0.004727,0,1,0.091,0.05,0.091,0
-0.047002,0.56525,0.0039603,0,1,0.092,0.05,0.092,0
-0.04492,0.61556,0.0031936,0,1,0.093,0.05,0.093,0
-0.042839,0.66587,0.0024269,0,1,0.094,0.05,0.094,0
-0.040758,0.71618,0.0016601,0,1,0.095,0.05,0.095,0
-0.039623,0.77295,0.0013281,0,1,0.096,0.05,0.096,0
-0.038488,0.82971,0.00099609,0,1,0.097,0.05,0.097,0
-0.037353,0.88647,0.00066406,0,1,0.098,0.05,0.098,0
-0.036218,0.94324,0.00033203,0,1,0.099,0.05,0.099,0
-0.035083,1,0,0,1,0.1,0.05,0.1,0
